Time,Side,Number,X,Y
3443.024,1,1,-501,5
3443.024,1,2,-385,46
3443.024,1,4,-417.9106,68.95288
3443.024,1,5,-501,13
3443.024,1,6,-482,-13
3443.024,1,7,-505,-166.814
3443.024,1,9,-86,-122
3443.024,1,10,-266.7295,-20.27295
3443.024,1,8,-481,-25
3443.024,1,22,-354,-25
3443.024,1,15,-436,-194
3443.024,2,1,156,0
3443.024,2,3,-378.4565,43.17871
3443.024,2,5,-106,-132
3443.024,2,4,-494,-364
3443.024,2,10,-436,-281
3443.024,2,14,-339,-12
3443.024,2,16,-47,-86
3443.024,2,17,-227.1836,-44.67993
3443.024,2,15,-493,17
3443.024,2,19,-482,-17
3443.024,2,22,-392.3647,107.0869
3443.024,0,-1,-521.7,-319.3
3443.075,1,1,-501,5
3443.075,1,2,-385,46
3443.075,1,4,-418.6353,68.17651
3443.075,1,5,-501,13
3443.075,1,6,-482,-13
3443.075,1,7,-505,-164.8472
3443.075,1,9,-86,-122
3443.075,1,10,-267.7646,-20.37646
3443.075,1,8,-481,-25
3443.075,1,22,-354,-25
3443.075,1,15,-436,-194
3443.075,2,1,156,0
3443.075,2,3,-379.3882,41.72949
3443.075,2,5,-106,-132
3443.075,2,4,-494,-364
3443.075,2,10,-436,-281
3443.075,2,14,-339,-12
3443.075,2,16,-47,-86
3443.075,2,17,-228.0117,-43.80005
3443.075,2,15,-493,17
3443.075,2,19,-482,-17
3443.075,2,22,-392.8823,105.2236
3443.075,0,-1,-521.7,-319.3
3443.103,1,1,-501,5
3443.103,1,2,-385,46
3443.103,1,4,-419.0146,67.77002
3443.103,1,5,-501,13
3443.103,1,6,-482,-13
3443.103,1,7,-505,-163.8174
3443.103,1,9,-86,-122
3443.103,1,10,-268.3066,-20.43066
3443.103,1,8,-481,-25
3443.103,1,22,-354,-25
3443.103,1,15,-436,-194
3443.103,2,1,156,0
3443.103,2,3,-379.876,40.9707
3443.103,2,5,-106,-132
3443.103,2,4,-494,-364
3443.103,2,10,-436,-281
3443.103,2,14,-339,-12
3443.103,2,16,-47,-86
3443.103,2,17,-228.4453,-43.33936
3443.103,2,15,-493,17
3443.103,2,19,-482,-17
3443.103,2,22,-393.1533,104.248
3443.103,0,-1,-521.7,-319.3
3443.12,1,1,-501,5
3443.12,1,2,-385,46
3443.12,1,4,-419.2539,67.51367
3443.12,1,5,-501,13
3443.12,1,6,-482,-13
3443.12,1,7,-505,-163.168
