Time,Side,Number,X,Y
6602.478,1,1,-503.2484,88.38232
6602.478,1,2,-398.8655,72.67851
6602.478,1,4,-403.1406,157.6496
6602.478,1,5,-485.1364,61.73623
6602.478,1,6,-473.1902,103.8838
6602.478,1,7,-493.9422,-37.98067
6602.478,1,9,-55.99998,-75
6602.478,1,10,-206.2239,83.3586
6602.478,1,8,-455.455,43.46894
6602.478,1,22,-347.9406,24.12061
6602.478,1,15,-397,-118
6602.478,2,1,156,68
6602.478,2,3,-384.3739,80.55859
6602.478,2,5,-118,-60
6602.478,2,4,-515.2054,-269.8467
6602.478,2,10,-405,-210
6602.478,2,14,-318.9384,17.96289
6602.478,2,16,-75.99999,17
6602.478,2,17,-166,68
6602.478,2,15,-461.5551,110.5679
6602.478,2,19,-445.1777,92.54932
6602.478,2,22,-398.4169,171.5679
6602.478,0,-1,-512.6672,-221.7462
6602.518,1,1,-502.3388,86.85567
6602.518,1,2,-401.4659,69.59672
6602.518,1,4,-405.8321,153.897
6602.518,1,5,-485.5122,59.66535
6602.518,1,6,-473.5837,99.2168
6602.518,1,7,-493.262,-37.31305
6602.518,1,9,-55.99998,-75
6602.518,1,10,-207.2899,82.48531
6602.518,1,8,-457.2585,43.62399
6602.518,1,22,-349.574,27.4666
6602.518,1,15,-397,-118
6602.518,2,1,156,68
6602.518,2,3,-387.1425,76.44531
6602.518,2,5,-118,-60
6602.518,2,4,-514.6122,-269.1348
6602.518,2,10,-405,-210
6602.518,2,14,-321.2324,21.91797
6602.518,2,16,-75.99999,17
6602.518,2,17,-166,68
6602.518,2,15,-462.0692,105.4658
6602.518,2,19,-447.5507,89.4248
6602.518,2,22,-400.869,166.4658
6602.518,0,-1,-511.0199,-209.4032
6602.542,1,1,-501.7773,85.91328
6602.542,1,2,-403.0712,67.69437
6602.542,1,4,-407.4934,151.5806
6602.542,1,5,-485.7441,58.38703
6602.542,1,6,-473.8267,96.33594
6602.542,1,7,-492.842,-36.90094
6602.542,1,9,-55.99998,-75
6602.542,1,10,-207.9478,81.94625
6602.542,1,8,-458.3718,43.71969
6602.542,1,22,-350.5823,29.53203
6602.542,1,15,-397,-118
6602.542,2,1,156,68
6602.542,2,3,-388.8515,73.90625
6602.542,2,5,-118,-60
6602.542,2,4,-514.246,-268.6953
6602.542,2,10,-405,-210
